epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1500.91,0.85512,0.70248,1.21542,0.8729,0.78088,0.84025,0.62968,0.94219,0.72526,1.27685,0.0011882,0.0011882,0.0011882
43,1536.47,0.84327,0.69924,1.21245,0.85935,0.79799,0.85454,0.63816,0.95363,0.71046,1.26434,0.0011684,0.0011684,0.0011684
44,1571.95,0.86219,0.7021,1.22386,0.86677,0.77034,0.84289,0.62271,0.95504,0.72788,1.27304,0.0011486,0.0011486,0.0011486
45,1607.66,0.8297,0.68817,1.20202,0.86224,0.7797,0.83863,0.63238,0.95094,0.71619,1.29088,0.0011288,0.0011288,0.0011288
46,1643.48,0.83407,0.68255,1.20247,0.86939,0.80134,0.85603,0.63958,0.9506,0.69424,1.25881,0.001109,0.001109,0.001109
47,1679.12,0.83419,0.6694,1.20997,0.87433,0.78363,0.84954,0.63224,0.94629,0.69917,1.26689,0.0010892,0.0010892,0.0010892
48,1714.74,0.82917,0.6693,1.20347,0.869,0.78812,0.84253,0.634,0.92959,0.70751,1.25819,0.0010694,0.0010694,0.0010694
49,1750.78,0.82475,0.65791,1.19783,0.86607,0.79858,0.85428,0.64201,0.93611,0.69497,1.26165,0.0010496,0.0010496,0.0010496
50,1786.39,0.82632,0.65754,1.19194,0.87078,0.78997,0.85356,0.64014,0.92994,0.69445,1.26369,0.0010298,0.0010298,0.0010298
51,1822.21,0.83196,0.66018,1.20337,0.87922,0.78462,0.8504,0.64378,0.92822,0.70693,1.25699,0.00101,0.00101,0.00101
52,1858.19,0.82008,0.64661,1.19672,0.86488,0.8037,0.85487,0.6422,0.92386,0.68,1.25264,0.0009902,0.0009902,0.0009902
53,1894,0.81017,0.64943,1.19382,0.86234,0.78366,0.8395,0.62986,0.94663,0.71243,1.2648,0.0009704,0.0009704,0.0009704
54,1929.69,0.81223,0.65342,1.18488,0.88937,0.78127,0.8565,0.63858,0.93468,0.68382,1.26025,0.0009506,0.0009506,0.0009506
55,1965.08,0.80442,0.62993,1.18704,0.89407,0.76397,0.85484,0.64511,0.92472,0.67708,1.25024,0.0009308,0.0009308,0.0009308
56,2000.76,0.79575,0.62255,1.17331,0.87242,0.79268,0.85239,0.63925,0.92846,0.67768,1.25566,0.000911,0.000911,0.000911
57,2036.48,0.80074,0.6411,1.18842,0.85704,0.81511,0.85944,0.64846,0.91896,0.67412,1.26078,0.0008912,0.0008912,0.0008912
58,2072.38,0.78636,0.62943,1.1699,0.86188,0.81498,0.86086,0.65026,0.9313,0.67272,1.25712,0.0008714,0.0008714,0.0008714
59,2107.51,0.78851,0.62016,1.17672,0.87568,0.81432,0.86404,0.65112,0.91256,0.66191,1.23508,0.0008516,0.0008516,0.0008516
60,2143.02,0.80029,0.62229,1.1797,0.8666,0.79032,0.84471,0.63824,0.91979,0.69822,1.24716,0.0008318,0.0008318,0.0008318
61,2178.51,0.78138,0.60911,1.17259,0.8705,0.80409,0.86154,0.6457,0.92159,0.66777,1.24965,0.000812,0.000812,0.000812
62,2213.72,0.77406,0.59615,1.16532,0.87323,0.79397,0.84948,0.64124,0.90864,0.67137,1.23759,0.0007922,0.0007922,0.0007922
63,2249.26,0.7813,0.60333,1.17026,0.87821,0.786,0.85376,0.64076,0.94277,0.67387,1.26137,0.0007724,0.0007724,0.0007724
64,2284.59,0.76563,0.58181,1.15823,0.87446,0.79858,0.85682,0.64627,0.92779,0.6652,1.24709,0.0007526,0.0007526,0.0007526
65,2319.7,0.77391,0.59844,1.16652,0.87235,0.80409,0.85423,0.64669,0.92144,0.66239,1.24206,0.0007328,0.0007328,0.0007328
66,2355.02,0.7641,0.58692,1.15221,0.87294,0.8,0.85803,0.64579,0.92533,0.67222,1.24201,0.000713,0.000713,0.000713
67,2390.3,0.76411,0.58373,1.1622,0.88223,0.79386,0.85541,0.64777,0.91451,0.66471,1.23525,0.0006932,0.0006932,0.0006932
68,2425.67,0.76391,0.57666,1.15508,0.88456,0.79622,0.8645,0.65215,0.91888,0.64993,1.24221,0.0006734,0.0006734,0.0006734
69,2460.76,0.75544,0.58081,1.15123,0.89514,0.79347,0.8652,0.65727,0.90886,0.64702,1.22788,0.0006536,0.0006536,0.0006536
70,2495.83,0.75928,0.57824,1.14838,0.85964,0.8023,0.85306,0.63952,0.93816,0.6711,1.24428,0.0006338,0.0006338,0.0006338
71,2530.9,0.75908,0.57575,1.14904,0.87547,0.80606,0.86511,0.65747,0.90733,0.6442,1.23325,0.000614,0.000614,0.000614
72,2565.8,0.75102,0.5614,1.15098,0.88024,0.80963,0.86484,0.66191,0.89294,0.63371,1.22714,0.0005942,0.0005942,0.0005942
73,2600.95,0.7457,0.55836,1.15087,0.88027,0.80981,0.86087,0.65225,0.91103,0.65041,1.22931,0.0005744,0.0005744,0.0005744
74,2636.08,0.73453,0.55424,1.14139,0.88812,0.79631,0.86197,0.65348,0.90843,0.64473,1.23252,0.0005546,0.0005546,0.0005546
75,2671.22,0.73194,0.54543,1.13958,0.87993,0.80719,0.85513,0.65087,0.89812,0.63777,1.22808,0.0005348,0.0005348,0.0005348
76,2706.21,0.73295,0.54717,1.14437,0.87393,0.79898,0.85437,0.65335,0.90115,0.64954,1.23252,0.000515,0.000515,0.000515
77,2741.11,0.7321,0.54641,1.1382,0.87499,0.80645,0.85599,0.65277,0.90981,0.64896,1.23852,0.0004952,0.0004952,0.0004952
78,2776.13,0.73649,0.55421,1.13558,0.87668,0.80819,0.85908,0.65883,0.90079,0.64387,1.23395,0.0004754,0.0004754,0.0004754
79,2810.99,0.71722,0.53283,1.13544,0.85752,0.81865,0.85744,0.65855,0.90284,0.65322,1.23425,0.0004556,0.0004556,0.0004556
80,2845.9,0.7331,0.54562,1.14143,0.87712,0.80685,0.8672,0.66206,0.89616,0.6291,1.23186,0.0004358,0.0004358,0.0004358
81,2881.11,0.73515,0.5414,1.14241,0.87498,0.81495,0.86947,0.66173,0.9028,0.62401,1.23706,0.000416,0.000416,0.000416
